Year,Mintage
1948,132791000
1949,56974000
1950,96984500
1951,159466602
1952,221222073
1953,190051920
1954,220640503
1955,26787381
1956,217324484
1957,274762282
1958,169350252
1959,251849081
1960,272242002
1961,305904794
1962,410616399
1963,548202175
1964,2290827942
1965,1652140570
1966,1382734540
1967,2244007320
1968,905218280
1969,709113870
1970,1100512100
1971,540604240
1972,761830000
1973,770702426
1974,1041331000
1975,899379200
1976,1263982774
1977,1173537228
1978,946827540
1979,706361184
1980,1454524321
1981,1388934143
1982,1062188584
1983,1377154224
1984,1561472976
1985,1293180932
1986,1155976663
1987,1415912883
1988,1992935488
1989,2194935597
1990,1874335824
1991,1528461114
1992,1209773932
1993,1516290166
1994,2492268110
1995,2400390000
1996,2821463000
1997,1971450000
1998,2335250000
1999,3561750000
2000,3661200000
2001,2782390000
2002,2567000000
2003,2072000000
2004,2487500000
2005,2835500000
2006,2828000000
2007,2089500000
2008,1015500000
2009,146000000
2010,1119000000
2011,1502000000
2012,1676000000
2013,2112000000
2014,2302500000
2015,3041010000
2016,2954000000
2017,2728000000
2018,2126000000
