"Block","91","92-t","93-t","94-t","95-t","96-t","97-t","Mean","SD","92-1","93-1","94-1","95-1","96-1","97-1","Mean-1","SD-1"
1,1,1,1,1,2,1,1,1.143,0.378,0,0,0,1,0,0,0.167,0.408
2,1,1,1,0,1,0,0,0.571,0.535,0,0,0,0,0,0,0,0
3,1,1,0,0,1,1,0,0.571,0.535,1,0,0,0,0,0,0.167,0.408
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1,1,2,1,1,1,1,1.143,0.378,0,0,0,0,0,0,0,0
6,1,0,1,0,0,0,0,0.286,0.488,0,1,0,0,0,0,0.167,0.408
7,1,1,4,2,1,2,1,1.714,1.113,1,1,0,0,0,1,0.5,0.548
8,3,1,1,1,1,1,3,1.571,0.976,0,0,0,0,0,2,0.333,0.816
9,2,3,2,1,3,1,0,1.714,1.113,1,1,0,2,0,0,0.667,0.816
10,0,2,0,0,0,1,0,0.429,0.787,1,0,0,0,1,0,0.333,0.516
11,0,3,0,0,2,1,3,1.286,1.38,3,0,0,0,0,1,0.667,1.211
12,1,0,0,0,0,0,0,0.143,0.378,0,0,0,0,0,0,0,0
13,1,0,1,0,1,1,2,0.857,0.69,0,0,0,0,0,1,0.167,0.408
14,1,1,0,0,0,0,0,0.286,0.488,1,0,0,0,0,0,0.167,0.408
15,1,0,0,0,0,0,0,0.143,0.378,0,0,0,0,0,0,0,0
16,0,1,1,0,3,2,3,1.429,1.272,0,0,0,2,1,2,0.833,0.983
17,1,0,1,0,0,0,1,0.429,0.535,0,0,0,0,0,1,0.167,0.408
18,0,0,0,0,0,0,1,0.143,0.378,0,0,0,0,0,1,0.167,0.408
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,0,0,0,0,1,0,0,0.143,0.378,0,0,0,1,0,0,0.167,0.408
24,0,0,0,0,0,0,1,0.143,0.378,0,0,0,0,0,1,0.167,0.408
25,0,2,1,1,4,2,3,1.857,1.345,1,0,0,2,1,2,1,0.894
26,1,2,6,2,2,4,2,2.714,1.704,2,3,0,1,1,1,1.333,1.033
27,2,2,1,0,1,0,2,1.143,0.9,0,0,0,0,0,2,0.333,0.816
28,1,1,4,0,2,0,4,1.714,1.704,0,1,0,1,0,4,1,1.549
29,0,2,1,1,1,1,5,1.571,1.618,1,0,0,0,0,5,1,2
30,1,2,4,0,0,2,2,1.571,1.397,2,3,0,0,1,2,1.333,1.211
31,0,1,3,0,1,2,2,1.286,1.113,1,3,0,1,2,2,1.5,1.049
32,0,0,0,0,2,0,6,1.143,2.268,0,0,0,2,0,5,1.167,2.041
33,3,2,2,0,1,1,2,1.571,0.976,2,1,0,1,1,0,0.833,0.753
34,0,3,6,1,1,0,2,1.857,2.116,0,4,0,0,0,2,1,1.673
35,1,0,2,0,2,1,3,1.286,1.113,0,2,0,2,1,3,1.333,1.211
36,0,3,3,0,1,0,6,1.857,2.268,1,2,0,0,0,6,1.5,2.345
37,0,1,1,0,3,2,5,1.714,1.799,0,1,0,3,0,4,1.333,1.751
38,0,0,0,0,0,1,1,0.286,0.488,0,0,0,0,1,1,0.333,0.516
39,0,2,2,0,2,3,4,1.857,1.464,0,1,0,2,2,4,1.5,1.517
40,0,5,0,0,16,2,9,4.571,6.051,3,0,0,16,1,9,4.833,6.432
41,NA,NA,4,0,10,7,7,5.6,3.782,NA,3,0,10,0,7,4,4.416
42,NA,NA,3,0,6,4,1,2.8,2.387,NA,1,0,6,0,1,1.6,2.51
43,NA,NA,0,0,4,2,4,2,2,NA,0,0,4,0,3,1.4,1.949
44,NA,NA,0,2,7,5,4,3.6,2.702,NA,0,0,7,0,1,1.6,3.05
45,NA,NA,1,0,5,0,4,2,2.345,NA,0,0,5,0,4,1.8,2.49
46,NA,NA,1,1,0,0,0,0.4,0.548,NA,1,0,0,0,0,0.2,0.447
47,NA,NA,3,1,3,2,1,2,1,NA,1,0,3,2,0,1.2,1.304
48,NA,NA,1,0,1,0,1,0.6,0.548,NA,1,0,0,0,0,0.2,0.447
49,NA,NA,2,3,2,1,3,2.2,0.837,NA,0,2,2,0,3,1.4,1.342
50,NA,NA,3,0,1,0,0,0.8,1.304,NA,1,0,1,0,0,0.4,0.548
51,NA,NA,5,0,0,1,2,1.6,2.074,NA,3,0,0,1,1,1,1.225
52,NA,NA,1,1,1,1,1,1,0,NA,1,1,1,0,0,0.6,0.548
53,NA,NA,2,0,2,0,0,0.8,1.095,NA,2,0,2,0,0,0.8,1.095
54,NA,NA,6,0,10,2,0,3.6,4.336,NA,3,0,10,0,0,2.6,4.336
55,NA,NA,2,0,8,3,2,3,3,NA,0,0,8,2,1,2.2,3.347
56,NA,NA,2,3,10,2,3,4,3.391,NA,1,1,10,0,3,3,4.062
57,NA,NA,1,0,3,1,1,1.2,1.095,NA,1,0,3,0,1,1,1.225
58,NA,NA,1,0,1,0,0,0.4,0.548,NA,1,0,1,0,0,0.4,0.548
59,NA,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0
60,NA,NA,1,0,1,0,0,0.4,0.548,NA,0,0,0,0,0,0,0
